"Name","State","Notes","User","Tags","Created","Runtime","Sweep","learning_rate","lexicon_features","train_batch_size","Training loss","eval_loss","eval_loss_best_epoch_dev","eval_loss_best_epoch_test","f1_macro","f1_macro_best_epoch_dev","f1_macro_best_epoch_test","f1_micro","f1_micro_best_epoch_dev","f1_micro_best_epoch_test","global_step","lr","mcc","mcc_best_epoch_dev","mcc_best_epoch_test","p_macro","p_macro_best_epoch_dev","p_macro_best_epoch_test","p_micro","p_micro_best_epoch_dev","p_micro_best_epoch_test","r_macro","r_macro_best_epoch_dev","r_macro_best_epoch_test","r_micro","r_micro_best_epoch_dev","r_micro_best_epoch_test","train_loss"
"laced-sweep-79","finished","-","gillesjacobs","","2021-04-29T01:30:31.000Z","652","ev35kdyw","0.00005349972767701268","pol","32","0.1433994323015213","1.0304426348978473","0.5684297272274571","0.6692580851988915","0.6202683651085795","0.6771472493603411","0.6277552185260712","0.7657200811359026","0.7931034482758621","0.7504038772213247","1610","0.000007426220151812056","0.5546062462056219","0.6103089895434267","0.5441896693211643","0.6331928375905509","0.6900285024417697","0.6349398114503452","0.7657200811359026","0.7931034482758621","0.7504038772213247","0.61133820856376","0.6678316395601557","0.6260219801235182","0.7657200811359026","0.7931034482758621","0.7504038772213247","0.43920254707336426"
"wild-sweep-91","finished","-","gillesjacobs","","2021-04-29T04:00:33.000Z","718","ev35kdyw","0.000042035821233970936","pol","32","0.0984129011631012","1.0253185774049451","0.5765505106218399","0.658347812982706","0.6100207983419662","0.667285544213058","0.6202870915026808","0.7718052738336714","0.7809330628803245","0.7366720516962844","1610","0.000005834931808069997","0.5617558304443756","0.5934780225746591","0.522165104150231","0.6294289645682835","0.6691947410461706","0.6245310379692947","0.7718052738336714","0.7809330628803245","0.7366720516962844","0.6003791999939788","0.6655706806407162","0.6194707160694405","0.7718052738336714","0.7809330628803245","0.7366720516962844","0.24745433032512665"
"effortless-sweep-67","finished","-","gillesjacobs","","2021-04-28T23:22:03.000Z","573","ev35kdyw","0.00004347478066478195","pol","32","0.1398264318704605","0.9529585434544472","0.5661040457987017","0.6452808403051816","0.6376948929018121","0.6650990489857357","0.6059400693038669","0.7677484787018256","0.7799188640973631","0.7407108239095315","1610","0.000006034671694359554","0.5637488426984842","0.5950399848793345","0.52300959593688","0.6445011737207881","0.6638853279460024","0.618816251428155","0.7677484787018256","0.7799188640973631","0.7407108239095315","0.6320904605403238","0.666577932481604","0.6052504042687862","0.7677484787018256","0.7799188640973631","0.7407108239095315","0.29906144738197327"
"rural-sweep-4","finished","-","gillesjacobs","","2021-04-28T15:06:14.000Z","211","ev35kdyw","0.00004336245764115741","pol","32","0.1113041564822197","0.9955722910742606","0.6091250354243863","0.6912679794507149","0.608943558492369","0.6629906114917531","0.6181222939821253","0.7677484787018256","0.7647058823529412","0.7302100161550888","1610","0.000006019080297210977","0.5583121510903615","0.5723243757204189","0.5119621584417142","0.6200352703517261","0.6580381337069071","0.6214707089360829","0.7677484787018256","0.7647058823529411","0.7302100161550888","0.6016110404340687","0.6715572077015727","0.6180561892391329","0.7677484787018256","0.7647058823529411","0.7302100161550888","0.3480496406555176"
"solar-sweep-5","finished","-","gillesjacobs","","2021-04-29T15:38:57.000Z","270","kz8o7wkm","0.00004063171813091608","pol","32","0.1293141096830368","1.0115700537158596","0.5728160248648736","0.6241317154505314","0.6162960273665128","0.6603761539960861","0.6328562643595502","0.7738336713995944","0.7758620689655173","0.7560581583198708","1610","0.000005640030278438323","0.5725793419222905","0.5839752751016537","0.549376149670672","0.6234974711238352","0.6620435849949113","0.64489734238065","0.7738336713995944","0.7758620689655172","0.7560581583198708","0.6113186395068756","0.6590561257585238","0.6264275802852769","0.7738336713995944","0.7758620689655172","0.7560581583198708","0.27518385648727417"
"kind-sweep-57","finished","-","gillesjacobs","","2021-04-28T21:39:44.000Z","596","ev35kdyw","0.0000566514958658317","pol","32","0.16896754503250122","1.042412515609495","0.977254767571726","1.1216215667052147","0.6371508617622449","0.6565385075880875","0.624894327563078","0.7677484787018256","0.7697768762677485","0.7536348949919226","1840","0.0000013106187591863898","0.5662852755282184","0.5745918342886517","0.5413476240230274","0.6423033510710354","0.6561078519156404","0.6467073820811075","0.7677484787018256","0.7697768762677485","0.7536348949919225","0.6336655715521372","0.6570520998410113","0.6174626346878441","0.7677484787018256","0.7697768762677485","0.7536348949919225","0.030162770301103592"
"lucky-sweep-40","finished","-","gillesjacobs","","2021-04-28T19:10:29.000Z","495","ev35kdyw","0.00007422829262603042","all","32","0.022726356983184814","1.060360323998236","0.6116383960170131","0.7466460474026508","0.594271560526026","0.6547940687360052","0.6253250251440147","0.7535496957403651","0.7697768762677485","0.7253634894991924","1840","0.0000017172537333957296","0.5316201003509514","0.5829527488675744","0.5188427012584582","0.60361725574899","0.6503560340349175","0.6291194306884654","0.7535496957403651","0.7697768762677485","0.7253634894991923","0.5885826239055044","0.6610713226761199","0.6320899548359846","0.7535496957403651","0.7697768762677485","0.7253634894991923","0.05007176846265793"
"rare-sweep-20","finished","-","gillesjacobs","","2021-04-28T16:38:13.000Z","337","ev35kdyw","0.00005200563813946766","pol","32","0.11457919329404832","1.0482754476608769","0.5894811355298565","0.6846229542906468","0.6164694305395114","0.6530781207986543","0.5963006029415252","0.7748478701825557","0.7768762677484787","0.7382875605815832","1610","0.000007218827734801758","0.5695559971643155","0.5751322066304072","0.5059482028602513","0.6321517278870757","0.671933885640026","0.6270989281321385","0.7748478701825557","0.7768762677484787","0.7382875605815832","0.607686202646299","0.6398354693909646","0.5874592065663717","0.7748478701825557","0.7768762677484787","0.7382875605815832","0.09422270208597185"
"sunny-sweep-13","finished","-","gillesjacobs","","2021-04-29T16:31:28.000Z","334","kz8o7wkm","0.00006275691063296277","posnegneupol","32","0.21509715914726257","1.0554316034240108","0.8963458586123682","0.9391913266900258","0.6184943422112995","0.6525372803028637","0.6325039549559504","0.7667342799188641","0.768762677484787","0.7382875605815832","1840","0.0000014518660643831758","0.558256526068575","0.5745665812798177","0.5278327800010171","0.6284617830228575","0.65101359214317","0.6365224323877804","0.7667342799188641","0.768762677484787","0.7382875605815832","0.6120780496384577","0.654203019457941","0.632069745237183","0.7667342799188641","0.768762677484787","0.7382875605815832","0.41145753860473633"
"effortless-sweep-78","finished","-","gillesjacobs","","2021-04-29T01:19:48.000Z","641","ev35kdyw","0.0000422542004194388","pol","32","0.09524178504943848","0.9598992053539522","0.5814653880173161","0.6688584536314011","0.6179126479695395","0.6519199886606329","0.6081897752122668","0.7616632860040567","0.7728194726166328","0.7407108239095315","1610","0.0000058652447083084514","0.5531524908555396","0.569717675235002","0.5172666206360396","0.6224638692391512","0.6655235684064214","0.6322479588936081","0.7616632860040567","0.7728194726166329","0.7407108239095315","0.6143171419194353","0.6415923468349922","0.6024464675208704","0.7616632860040567","0.7728194726166329","0.7407108239095315","0.2528202533721924"
