"Name","State","Notes","User","Tags","Created","Runtime","Sweep","learning_rate","lexicon_features","train_batch_size","Training loss","eval_loss","eval_loss_best_epoch_dev","eval_loss_best_epoch_test","f1_macro","f1_macro_best_epoch_dev","f1_macro_best_epoch_test","f1_micro","f1_micro_best_epoch_dev","f1_micro_best_epoch_test","global_step","lr","mcc","mcc_best_epoch_dev","mcc_best_epoch_test","p_macro","p_macro_best_epoch_dev","p_macro_best_epoch_test","p_micro","p_micro_best_epoch_dev","p_micro_best_epoch_test","r_macro","r_macro_best_epoch_dev","r_macro_best_epoch_test","r_micro","r_micro_best_epoch_dev","r_micro_best_epoch_test","train_loss"
"rose-sweep-72","finished","-","gillesjacobs","","2021-05-10T14:05:51.000Z","1731","k8tle1jn","0.00006123357872399313","pol","64","0.0022033192217350006","1.2546785252709542","0.987429492896603","1.1619138316466258","0.6213696263229292","0.6483195829913139","0.6335955880813926","0.7647058823529412","0.77079107505071","0.7366720516962844","920","0.0000014174439519442853","0.5579045101626018","0.5781264228494079","0.524418710233894","0.6270082715177204","0.6469480721657072","0.6353104978626726","0.7647058823529411","0.77079107505071","0.7366720516962844","0.6170707934400876","0.6499072945640211","0.6328558286480007","0.7647058823529411","0.77079107505071","0.7366720516962844","0.0129370940849185"
"icy-sweep-16","finished","-","gillesjacobs","","2021-05-11T11:16:39.000Z","838","lujp5r8m","0.00005113953445988565","pol","32","0.0011856397613883018","1.454713200369189","0.8613355803874231","0.996043704641171","0.6363185546742594","0.6576355726819809","0.6282569115633891","0.77079107505071","0.7515212981744422","0.7132471728594506","1840","0.0000011831008550580831","0.5687403475876466","0.5669413046258704","0.5072471117101574","0.6438140843291011","0.6535782915935517","0.6228027402008744","0.77079107505071","0.7515212981744422","0.7132471728594507","0.6302907609293084","0.6815194421947292","0.6427872334462306","0.77079107505071","0.7515212981744422","0.7132471728594507","0.00023650532239116728"
"glamorous-sweep-44","finished","-","gillesjacobs","","2021-05-10T01:54:39.000Z","1147","k8tle1jn","0.00006530984444704759","pol","32","0.0019789710640907288","1.4982891332718633","0.842278040224506","0.943302856041835","0.6249923222544611","0.6438427854160603","0.6275425725357476","0.7728194726166328","0.7565922920892496","0.7269789983844911","1840","0.000001510927575408851","0.5704194061565354","0.5586961688718136","0.5083296695628173","0.6345265086453682","0.6405003726432298","0.627578249405678","0.7728194726166329","0.7565922920892495","0.7269789983844911","0.6191604636915758","0.6507200046268539","0.6277228807240062","0.7728194726166329","0.7565922920892495","0.7269789983844911","0.0002610910451039672"
"ethereal-sweep-95","finished","-","gillesjacobs","","2021-05-11T00:54:25.000Z","1994","k8tle1jn","0.00006302328239955819","all","64","0.1941053718328476","1.1091858946507978","0.8227655695330712","1.0014351380941195","0.6284705100028904","0.6645423489351994","0.622622150628528","0.7677484787018256","0.7748478701825557","0.7512116316639742","920","0.0000014588722777675506","0.5669500901103283","0.5845391196277278","0.5353614556283567","0.6316869781556681","0.6659537340926613","0.6444773559742671","0.7677484787018256","0.7748478701825557","0.7512116316639742","0.625608943296677","0.666200931035514","0.6132831821214965","0.7677484787018256","0.7748478701825557","0.7512116316639742","0.051054127514362335"
"tough-sweep-12","finished","-","gillesjacobs","","2021-05-11T10:36:38.000Z","590","lujp5r8m","0.00006196514408316563","posnegneupol","32","0.198877215385437","1.2803982621239078","0.5913149502969557","0.6845728819951032","0.5975982247163631","0.666325318924101","0.6196871539510762","0.7515212981744422","0.7677484787018256","0.7277867528271406","1380","0.000017560972007374875","0.5202966971179959","0.5799811554041956","0.5123105491279714","0.6239993969546208","0.6592477359337862","0.6190623955281008","0.7515212981744422","0.7677484787018256","0.7277867528271406","0.5834276827285445","0.6760579521378105","0.6220619143590257","0.7515212981744422","0.7677484787018256","0.7277867528271406","0.002747733611613512"
"vivid-sweep-69","finished","-","gillesjacobs","","2021-05-10T12:45:38.000Z","1427","k8tle1jn","0.00005013352144565574","posnegneupol","32","0.11172202974557877","1.2061244412775962","0.5423529513420597","0.6681668024796706","0.6304337382192321","0.6363631561555253","0.6189255220621067","0.7718052738336714","0.7799188640973631","0.747172859450727","1380","0.000014207880571643327","0.5718832496507176","0.582846062256533","0.5376086965110207","0.6363649610283637","0.6481339536336183","0.6335442860743189","0.7718052738336714","0.7799188640973631","0.747172859450727","0.6266492327761104","0.6287389030275985","0.6179325078599807","0.7718052738336714","0.7799188640973631","0.747172859450727","0.0008829141734167933"
"misty-sweep-18","finished","-","gillesjacobs","","2021-05-09T19:42:21.000Z","760","k8tle1jn","0.00004460911257151609","all","32","0.004884114488959312","1.246555576401372","0.6568090434997312","0.7956801262230445","0.6360417020534967","0.6492623402236779","0.6188878323587209","0.77079107505071","0.7758620689655173","0.7415185783521809","1610","0.00000619212667273792","0.5695432639389993","0.5774631297291941","0.523053292964226","0.644440153556867","0.6594040104975424","0.6380763416477703","0.77079107505071","0.7758620689655172","0.7415185783521809","0.6309877798370183","0.6415397401395623","0.613712781181832","0.77079107505071","0.7758620689655172","0.7415185783521809","0.21501512825489044"
"ancient-sweep-21","finished","-","gillesjacobs","","2021-05-11T12:21:49.000Z","912","lujp5r8m","0.00004727599404738767","posnegneupol","32","0.013115947134792805","1.4830613790019866","1.0209082836104977","1.109944379864595","0.6099723933373725","0.6317002952276692","0.6185879166219926","0.7606490872210954","0.7434077079107506","0.7205169628432956","1840","0.0000010937187749540235","0.5460730704639853","0.5371725817103461","0.5048198164909324","0.6205965249497869","0.6276390091219682","0.6150565417897608","0.7606490872210954","0.7434077079107505","0.7205169628432956","0.6042895253850084","0.6401876133811943","0.6237310497032893","0.7606490872210954","0.7434077079107505","0.7205169628432956","0.0003267272550147027"
"polished-sweep-33","finished","-","gillesjacobs","","2021-05-11T15:03:52.000Z","961","lujp5r8m","0.00007682468541382484","all","64","0.09798681735992432","1.3433617564939684","1.0119189706540876","1.155687010441071","0.6083648106808529","0.6477278802459235","0.6183937234320057","0.7636916835699797","0.7616632860040567","0.7269789983844911","920","0.0000017783491993940931","0.5517903732361791","0.566836922863442","0.5124233373743025","0.6177682229809393","0.6437259801886389","0.6172095420709924","0.7636916835699797","0.7616632860040567","0.7269789983844911","0.6030148627779306","0.6544373925855854","0.6216034090862151","0.7636916835699797","0.7616632860040567","0.7269789983844911","0.0006634112796746194"
"happy-sweep-8","finished","-","gillesjacobs","","2021-05-11T10:00:19.000Z","491","lujp5r8m","0.00006681829588531996","all","64","0.07243864983320236","1.1256105688310438","0.6104150625967211","0.726518166752962","0.6521449386297102","0.6757238069455264","0.6176555541000396","0.7809330628803245","0.7829614604462475","0.7431340872374798","805","0.000009280318872961106","0.5893287948947002","0.5998598667147896","0.5260116277410202","0.666171867348338","0.6757822714198554","0.6274592434488437","0.7809330628803245","0.7829614604462475","0.7431340872374798","0.6457730738096101","0.6782753956544414","0.6122856233522734","0.7809330628803245","0.7829614604462475","0.7431340872374798","0.02434783056378365"
