id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_editorial_macro_31-05-2012 00 00	negative	has_medium_neg_target	Opinion : A doomed golden age for UK plc	A doomed golden age for	A doomed golden age for UK plc	(2, 6)	(2, 8)	[(7, 8)]	train
FT_editorial_macro_31-05-2012 00 01	negative	has_high_neg_target	Opinion : A doomed golden age for UK plc	doomed	doomed golden age	(3, 3)	(3, 5)	[(4, 5)]	train
FT_editorial_macro_31-05-2012 02 00	negative	has_low_neg_target	Walls of cash often prove less durable than the kind made of bricks and mortar .	often prove less durable than	Walls of cash often prove less durable than	(3, 7)	(0, 7)	[(0, 2)]	train
FT_editorial_macro_31-05-2012 02 01	positive	has_low_pos_target	Walls of cash often prove less durable than the kind made of bricks and mortar .	often prove less durable than	Walls of cash often prove less durable than the kind made of bricks and mortar	(3, 7)	(0, 14)	[(8, 14)]	train
FT_editorial_macro_31-05-2012 03 00	positive	has_medium_pos_target	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on .	Prudent	Prudent businesses	(0, 0)	(0, 1)	[(1, 1)]	train
FT_editorial_macro_31-05-2012 03 01	positive	has_high_pos_target	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on .	build up	build up cash	(2, 3)	(2, 4)	[(4, 4)]	train
FT_editorial_macro_31-05-2012 03 02	positive	has_low_pos_target	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on .	build up cash or pay down debt when performance has been strong , lest it disappoints later on	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on	(2, 19)	(0, 19)	[(0, 1)]	train
FT_editorial_macro_31-05-2012 03 03	positive	has_medium_pos_target	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on .	pay down	pay down debt	(6, 7)	(6, 8)	[(8, 8)]	train
FT_editorial_macro_31-05-2012 03 04	positive	has_medium_pos_target	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on .	has been strong	performance has been strong	(11, 13)	(10, 13)	[(10, 10)]	train
FT_editorial_macro_31-05-2012 03 05	negative	has_medium_neg_target	Prudent businesses build up cash or pay down debt when performance has been strong , lest it disappoints later on .	disappoints	it disappoints	(17, 17)	(16, 17)	[(16, 16)]	train
FT_editorial_macro_31-05-2012 04 00	negative	has_low_neg_target	That is the position of many large businesses as continuing eurozone turbulence - most recently manifested in Spain 's property crash - threatens to depress growth further .	is the position of	is the position of many large businesses	(1, 4)	(1, 7)	[(5, 7)]	train
FT_editorial_macro_31-05-2012 04 01	negative	has_medium_neg_target	That is the position of many large businesses as continuing eurozone turbulence - most recently manifested in Spain 's property crash - threatens to depress growth further .	continuing eurozone turbulence	continuing eurozone turbulence	(9, 11)	(9, 11)	[(10, 10)]	train
FT_editorial_macro_31-05-2012 04 02	negative	has_medium_neg_target	That is the position of many large businesses as continuing eurozone turbulence - most recently manifested in Spain 's property crash - threatens to depress growth further .	's property crash	Spain 's property crash	(18, 20)	(17, 20)	[(17, 17)]	train
FT_editorial_macro_31-05-2012 04 03	negative	has_medium_neg_target	That is the position of many large businesses as continuing eurozone turbulence - most recently manifested in Spain 's property crash - threatens to depress growth further .	threatens to depress growth further	threatens to depress growth further	(22, 26)	(22, 26)	[(25, 25)]	train
FT_editorial_macro_31-05-2012 05 00	negative	has_low_neg_target	The dissipation of these reserves through cost subsidies during periods of tougher trading or , indirectly , through bank deleveraging mean that their impact is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011 .	The dissipation of these reserves through	The dissipation of these reserves through	(0, 5)	(0, 5)	[(3, 4)]	train
FT_editorial_macro_31-05-2012 05 01	negative	has_medium_neg_target	The dissipation of these reserves through cost subsidies during periods of tougher trading or , indirectly , through bank deleveraging mean that their impact is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011 .	tougher	tougher trading	(11, 11)	(11, 12)	[(12, 12)]	train
FT_editorial_macro_31-05-2012 05 02	neutral	has_target_with_unknown_polarity	The dissipation of these reserves through cost subsidies during periods of tougher trading or , indirectly , through bank deleveraging mean that their impact is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011 .	is rarely as dramatic	their impact is rarely as dramatic	(24, 27)	(22, 27)	[(22, 23)]	train
FT_editorial_macro_31-05-2012 05 03	neutral	has_target_with_unknown_polarity	The dissipation of these reserves through cost subsidies during periods of tougher trading or , indirectly , through bank deleveraging mean that their impact is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011 .	is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011	their impact is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011	(24, 57)	(22, 57)	[(22, 23)]	train
FT_editorial_macro_31-05-2012 05 04	neutral	has_target_with_unknown_polarity	The dissipation of these reserves through cost subsidies during periods of tougher trading or , indirectly , through bank deleveraging mean that their impact is rarely as dramatic as suggested by such bald numbers as the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011 .	the $ 2 tn of surplus liquidity reputedly lurking on	the $ 2 tn of surplus liquidity reputedly lurking on the balance sheets of US and European companies at the end of 2011	(35, 44)	(35, 57)	[(45, 57)]	train
FT_editorial_macro_31-05-2012 08 00	positive	has_medium_pos_target	Most of them believe , with varying degrees of fundamentalism , that austerity is the only route to post-financial crisis stability and then growth .	is the only route to	is the only route to post-financial crisis stability and then growth	(13, 17)	(13, 23)	[(18, 20), (23, 23)]	train
FT_editorial_macro_31-05-2012 08 01	positive	has_high_pos_target	Most of them believe , with varying degrees of fundamentalism , that austerity is the only route to post-financial crisis stability and then growth .	is the only route to post-financial crisis stability and then growth	austerity is the only route to post-financial crisis stability and then growth	(13, 23)	(12, 23)	[(12, 12)]	train
