id	text	label
0	Kweenie of da gij al es goed hebt stilgestaan bij het leven da ge de afgelopen jaren hebt geleid.	0.303732028294,0.51301466395,0.664205293722
1	Santé.	0.712377372843,0.492070931037,0.619150447798
10	Ja jongens. Dees is nie gezond ze. Pfff. Dees is nie gewoon. Na zen ik echt serieus aan het stressen hoor.	0.338709743129,0.827687786703,0.26046718199
100	Ik had de vorige keer ook al zoiets van: nie me mij, want how… Wa was het dan? Vijftien maanden daje dan weggebleven was na je elektronisch toezicht. Ma goed ja, inderdaad…	0.438436937074,0.71408682613,0.471438180498
101	Tis wat het is. Tis ook een belangrijke job eh. Als kik zo woog, khad uiteindelijk nog wel vijf kilo. Das fiftig dollar. Voor die mensen veel geld ze.	0.69606748386,0.5525243531,0.705887111337
102	Ideaal. Nu gaak minne pyjama pakken.	0.758783050244,0.538177146923,0.742886289882
103	Ik was wel gechoqueerd. Ja. Da ga zo buiten alle grenzen die dat er, die da ik ken. Das nie meer normaal.	0.25822530005,0.455006159788,0.425403955789
104	Oh, amai. Schol eh!	0.819614012504,0.668273647807,0.634418731208
105	Het is zelfs nie om jullie te choqueren dat ik jullie naar hier breng. Het is gewoon echt omdat het, omdat het hier zo is.	0.417294108127,0.291885219002,0.718016848881
106	Ja das inderdaad iets da jullie nog nie hebben gezien. Daarom ben ik blij da ge het, da ge het wel, da ge het nu wel es zie. Da ik ook over andere dingen bekommerd kan zijn dan materialistische dingen.	0.667494451,0.387507822587,0.679450809897
107	Dat da… ja dat da een beetje een soort zelfbescherming is. Dak daar misschien anders zelf euh… te veel mee ga… te veel aan ga denken en te… te ongelukkig van ga worden.	0.510066905562,0.0772652774672,0.305222399693
108	Ja gij waard ook heel blij als ge thuis waart.	0.721525059229,0.269849858721,0.543720046166
109	Alé ma, hou de moed erin. Salut.	0.630033852713,0.44444242505,0.552028281692
11	Geen buren. Geen last van iemand.	0.565436250289,0.383672014185,0.625460788941
110	Kmoet er nog altijd mee lachen omdat ik het euh nie echt besef. Euhm… Ma het doet zeker wel wa me mij. Tis euh bizar om te weten da ja ga trouwen.	0.722555373096,0.445195928971,0.479281920224
111	Een goeie danser, das toch wijs eh.	0.74867372666,0.450729130877,0.719916761934
112	We hebben nog redelijk  gelachen tijdens diene dans ook. Da was echt plezant daje zo… Da was een serieus moment ma ook dawet zo beetje konden downplayen zo en ja kvond da wel geweldig da we da kunnen doen.	0.839564498887,0.677819402598,0.632426171865
113	Das het eerste wa kik dan zeg eh. Ge moet es weten vanwaar dat da komt. Ma twas ook, alé, ik moet eerlijk zijn, wij hebben dan die nachtdienst gedaan. Ik was bekaf.	0.335190858713,0.683825838038,0.406958198626
114	Lang geleden da we hier wel samen hebben gegeten eh.	0.658725329773,0.246712837758,0.478976891141
115	Ik vind et een stomme methode ze. Een bikke modder mixen vinnik het.	0.149220859502,0.645156158848,0.421553689489
116	Heeey. Sorry eh. Ik heb net knoflookteentjes vastgehad, dus nu heb je een knoflookhandje.	0.57312636836,0.690001966605,0.509728696088
117	Doeme toch. Da moe wel passen eh?	0.287143014406,0.725647246746,0.400247916932
118	Ge ziet er goe uit. Hallo.	0.686395665303,0.309782986876,0.50072624564
119	Ik woonde der al een paar jaar bij ook eh, bij het slachtoffer dus… alé zij bij mij dus…	0.377191163361,0.341575056617,0.283227477734
12	Nee, sorry ik word daar zo kwaad van. Ik word daar echt boos van.	0.154720743799,0.790217746524,0.667449138691
120	Het komt nu  gewoon efkes allemaal heel hard binnen.	0.202512355092,0.298191706975,0.27855249765
121	Alé hij verdient hier wel goe eh.	0.647683900727,0.5668050369,0.519731649975
122	Wij hopen beide voor Lenny dat het een lief meisjen is. Met een goed karakter natuurlijk, das heel belangrijk. Hij is eigenlijk al heel lang op zoek en ja… Misschien lukt het nu voor hem eh.	0.703718255121,0.398794801689,0.330171573133
123	We hebben al zo veel gedaan op zo’n korte tijd. We zijn zo’n hechte groep geworden, vind ik. We zijn nog geen week weg, of net een week weg. Dus euh, ja. Zot.	0.890005319618,0.59033942083,0.830160978886
124	Maar nu, als ik u ga terug laten gaan naar uw cel… Ik ga nie beweren da je kalm kan zijn ma der gaan toch geen ongelukken gebeuren eh?	0.430953611147,0.628542329397,0.294476613209
125	Das ietske da los ligt om omdak nie meer weet hoe dak het erin moe steken.	0.613918692437,0.253729828388,0.295795792255
126	Sinds net voor Kerstmis eigenlijk zijn wij nie meer getrouwd en da is even een heel moeilijke periode geweest vo mij.	0.318064744539,0.252252603605,0.384372955833
127	Toch ongelooflijk. Der durft hier geen een zeggen aan een gedetineerde datn moe zn haar knippen.	0.328833667414,0.790294464966,0.686848609427
128	Er zullen wel dingen… Maja zulke dingen vind ik wel goe. Vind ik wel wijs.	0.548194139769,0.352996334628,0.409031642089
129	Ik ga die direct op instagram zetten eh, goed?	0.611966065158,0.53581723941,0.602047283675
13	Doen, Joke. Doen. Echt, ik sta derachter. Ik steun u.	0.654094179888,0.645068533972,0.741473857558
130	Toen we dees zagen, waren we heel blij. Ge hebt een dak boven uw kop, nie iedereen heeft da hier en ja. Ik vind da ook een heel proper huis tegenover de andere da we hier allemaal zien.	0.78879034377,0.449559398427,0.781231106348
131	Ik vond da een van de beste momenten van mijn leven da we daar aankwamen en… Die bus en al die kinderen en zo. Oh.	0.953836692589,0.759970549464,0.659930390912
