id	text	label
aal00 00 00	American Airlines Up on Record April Traffic , Upbeat Q2 View	0
aal00 00 01	American Airlines Up	0
aal00 00 02	American Airlines Up on Record April Traffic	0
aal00 01 00	shares rise	0
aal00 01 01	American Airlines Group Inc . AAL saw its shares rise 4.76 % to $ 47.08 at the close of business on Apr 9 , following the release of its traffic report	2
aal00 01 02	Premier passenger carrier , American Airlines Group Inc . AAL	0
aal00 02 00	The company witnessed a 3.1 % rise in traffic	0
aal00 02 01	The company witnessed a 3.1 % rise in traffic , which is measured in revenue	0
aal00 03 00	consolidated capacity or available seat miles / ASMs inched up	0
aal00 04 00	the load factor or percentage of seats filled by passengers increased	0
aal00 04 01	traffic growth	0
aal00 04 02	capacity expansion	0
aal00 05 00	the carrier registered a 0.3 % decline	1
aal00 05 01	the carrier registered a 0.3 % decline in RPMs to $ 69.6 billion , while ASMs declined	1
aal00 06 00	load factor increased	0
aal00 07 00	grew	0
aal00 07 01	declined	1
aal00 08 00	American Airlines has raised its projections	0
aal00 09 00	The company expects total revenue	0
aal00 09 01	The company expects total revenue per available seat mile TRASM growth	0
aal00 10 00	Pre-tax margin	2
aal00 11 00	The company ' s prior guidance for TRASM	2
aal00 11 01	pre-tax margin	2
aal00 12 00	The company recently reported first-quarter 2017 results	0
aal00 12 01	The company recently reported first-quarter 2017 results , beating the Zacks Consensus Estimate for both earnings and revenues	0
aal00 13 00	adjusted earnings	2
aal00 13 01	Zacks Consensus Estimate	2
aal00 13 02	The carrier ' s adjusted earnings of 61 cents per share beat the Zacks Consensus Estimate by 4 cents	0
aal00 14 00	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate	2
aal00 14 01	Revenues of $ 9,624 million edged past the Zacks Consensus Estimate	0
aal00 15 00	Airline heavyweights like Southwest Airlines LUV and Alaska Air Group ALK have also reported	2
aal00 17 00	Zacks Rank # 3 Hold	2
aal00 18 00	Deutsche Lufthansa AG DLAKY , which carries a Zacks Rank # 2 Buy	0
aal00 18 01	better-ranked stock in the airline space is Deutsche Lufthansa AG DLAKY	0
aal00 19 00	Shares of Deutsche Lufthansa have rallied	0
aal01 00 00	investment at PHL	0
aal01 00 01	PHL to bring new traffic control tower , remodeled terminals	0
aal01 01 00	investment at Philadelphia International Airport led by American Airlines	0
aal01 01 01	funds to maintenance and repairs of the airfield and terminals	2
aal01 01 02	lease	0
aal01 01 03	Philadelphia International Airport led by American Airlines dedicates nearly half the funds to maintenance and repairs of the airfield and terminals , while the next largest piece - - $ 200 million - - will go towards making good on the promise	0
aal01 02 00	American Airlines and PHL announced Tuesday an agreement	0
aal01 03 00	investment	2
aal01 05 00	New air traffic control tower	2
aal01 06 00	Terminal	2
aal01 09 00	Terminal B	2
aal01 10 00	Land acquisition	2
aal01 13 00	PHL - - with $ 26 million earmarked	0
aal01 13 01	The bulk of the dollars are being spent on PHL	0
aal01 14 00	funding for the projects comes from the airlines	2
aal01 15 00	investments	2
aal01 15 01	these investments are not funded by taxpayer dollars	2
aal01 16 00	investment in the region by the 15 airlines that serve the airport	2
aal01 17 00	plans to set up an ` ` automated ` people mover '	1
aal01 18 00	projects , overseen by the Division of Aviation and American Airlines	2
aal01 18 01	All of the announced projects , overseen by the Division of Aviation and American Airlines , are expected to be completed	0
aal01 19 00	economic impact	0
aal01 19 01	investment	0
aal01 20 00	PHL today , they will receive efficient and comfortable service	0
aal01 21 00	grow	0
aal01 21 01	better	0
aal01 22 00	jobs	0
aal01 22 01	thriving	0
aal01 23 00	PHL and American said the projects will generate	0
aal02 00 00	Delta Air Lines finds competition intense in May on-time arrivals race	1
aal02 01 00	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance	0
aal02 01 01	Delta Air Lines , long used to being hailed as the undisputed leader in on-time performance , found itself in a real horse race	1
aal02 02 00	three of the four major domestic carriers found themselves bunched fairly tightly in the on-time arrival competition	0
aal02 02 01	behemoth OAG	0
aal02 02 02	three of the four major domestic carriers found themselves bunched fairly tightly	0
aal02 03 00	Delta Air Lines still won	0
aal02 03 01	Delta Air Lines still won the month , with 81.1 percent of flights arriving on time	0
aal02 05 00	Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident	1
aal02 05 01	Chicago-based United Airlines - - clearly pushing hard in the wake of the ugly United Express Flight 3411 man-dragged-from-plane incident in April - - finished May with a strong second-place	0
aal02 05 02	Chicago-based United Airlines - - clearly pushing hard	0
aal02 06 00	80.1 percent of United ' s flights reached the gate on time	0
aal02 07 00	mainline as well as regional flights , which have in recent years had a more spotty performance than have United	1
aal02 09 00	all the other domestic carriers that have been eating Delta ' s dust for years in the on-time arrivals race	1
aal02 09 01	American Airlines last year upped its efforts	0
aal02 09 02	American Airlines last year upped its efforts to improve on-time performance	0
aal02 10 00	AA , the world ' s largest carrier	0
aal02 10 01	AA , the world ' s largest carrier , got 79.7 percent of its flights to the gate on time	0
aal02 11 00	AA in third place	2
aal02 11 01	AA in third place , but still not far off the pace	1
aal02 12 00	laggard in May was low-fare behemoth Southwest Airlines	1
aal02 13 00	Southwest got 77.6 percent of its flights to the gate on time	2
aal02 14 00	Southwest shifted to a new reservations system	2
aal02 14 01	Southwest shifted to a new reservations system last month , which might have been a factor in its fourth-place	1
aal02 15 00	Southwest ramps up for the peak summer season	0
aal02 15 01	Southwest ramps up for the peak summer season the carrier is finding it tougher to juggle more flights and get them where they need to be on schedule	1
aal02 16 00	flight cancellation	2
aal02 16 01	Southwest had the least number of cancellations	0
aal02 16 02	cancellations	2
aal02 16 03	Southwest had the least number of cancellations , percentage wise , for May , with 0.4 percent of all flights cancelled	2
aal02 17 00	Delta was second best in this department	0
aal02 17 01	Delta was second best in this department with 0.7 percent of flights cancelled	2
aal02 18 00	American Airlines cancelled 1.2 percent of its flights	2
aal02 18 01	United cancelled 1.3 percent	2
aal03 00 00	American Airlines reports load factor increase	0
aal03 00 01	shares gain	0
aal03 01 00	AAL rose	0
aal03 01 01	the air carrier reported May load factor that increased	0
aal03 01 02	the air carrier reported May load factor that increased , as traffic growth	0
aal03 01 03	the air carrier reported May load factor that increased , as traffic growth outpaced a rise in capacity	0
aal03 02 00	Load factor increased	0
aal03 02 01	United Continental Holdings Inc . and Southwest Airlines Co . reported load factor declines	1
aal03 03 00	Traffic on American flights increased	0
aal03 03 01	American flights increased 2.6 % to 19.9 billion revenue passenger miles , while capacity	0
aal03 04 00	American affirmed its second-quarter outlook	0
aal03 04 01	American affirmed its second-quarter outlook for total revenue per available seat mile of an increase	0
aal03 05 00	The stock has climbed	0
aal03 05 01	the Arca Airline Index XAL has gained	0
aal03 05 02	the S & P 500 SPX has advanced	0
aal04 00 00	American Airlines Backtracks a Bit on Its Legroom-Reduction	1
aal04 01 00	Airlines has scrapped its plan to have three rows with just 29 inches of seat pitch on its new 737 MAX 8 fleet	1
aal04 02 00	American Airlines announced that it would go where no U.S . legacy carrier had ever gone before , reducing seat pitch	2
aal04 02 01	American Airlines announced that it would go where no U.S . legacy carrier had ever gone before	0
aal04 03 00	American Airlines has now reversed that decision	1
aal04 04 00	provide a minimum seat pitch of 30 inches	2
aal04 05 00	cramped configuration than what American currently offers	1
aal04 06 00	legacy carriers continue to reduce passenger legroom	2
aal04 06 01	cut costs	0
aal04 06 02	defect to more customer-friendly airlines	1
aal04 06 03	defect to more customer-friendly airlines , such as JetBlue Airways and Southwest Airlines	0
aal04 06 04	customer-friendly airlines , such as JetBlue Airways and Southwest Airlines	0
aal04 07 00	Cost creep has held American Airlines	1
aal04 07 01	runaway costs	1
aal04 07 02	held American Airlines	1
aal04 07 03	big problem for American Airlines	1
aal04 08 00	American ' s management has indicated that cost growth	0
aal04 09 00	the company clearly has to do more work to match its competitors in terms of unit costs	1
aal04 09 01	unit costs	2
aal04 10 00	American Airlines ' unit costs	1
aal04 11 00	American Airlines ' campaign to squeeze more seats into its next-generation aircraft	2
aal04 13 00	the carrier is determined to fit 172 seats	2
aal04 14 00	American Airlines said it would reduce economy-seat legroom to make space for the two extra rows	2
aal04 14 01	American Airlines said it would reduce economy-seat legroom to make space for the two extra rows	0
aal04 15 00	economy rows would have had 30 inches of pitch , but three rows would have been even more cramped	1
aal04 16 00	outraged	1
aal04 17 00	backlash was big enough that American Airlines	1
aal04 17 01	American Airlines recently changed its intended configuration for the 737 MAX 8	1
