id	text	label
0	Kweenie of da gij al es goed hebt stilgestaan bij het leven da ge de afgelopen jaren hebt geleid.	0
1	Santé.	3
10	Ja jongens. Dees is nie gezond ze. Pfff. Dees is nie gewoon. Na zen ik echt serieus aan het stressen hoor.	2
100	Ik had de vorige keer ook al zoiets van: nie me mij, want how… Wa was het dan? Vijftien maanden daje dan weggebleven was na je elektronisch toezicht. Ma goed ja, inderdaad…	1
101	Tis wat het is. Tis ook een belangrijke job eh. Als kik zo woog, khad uiteindelijk nog wel vijf kilo. Das fiftig dollar. Voor die mensen veel geld ze.	0
102	Ideaal. Nu gaak minne pyjama pakken.	3
103	Ik was wel gechoqueerd. Ja. Da ga zo buiten alle grenzen die dat er, die da ik ken. Das nie meer normaal.	2
104	Oh, amai. Schol eh!	3
105	Het is zelfs nie om jullie te choqueren dat ik jullie naar hier breng. Het is gewoon echt omdat het, omdat het hier zo is.	0
106	Ja das inderdaad iets da jullie nog nie hebben gezien. Daarom ben ik blij da ge het, da ge het wel, da ge het nu wel es zie. Da ik ook over andere dingen bekommerd kan zijn dan materialistische dingen.	3
107	Dat da… ja dat da een beetje een soort zelfbescherming is. Dak daar misschien anders zelf euh… te veel mee ga… te veel aan ga denken en te… te ongelukkig van ga worden.	5
108	Ja gij waard ook heel blij als ge thuis waart.	3
109	Alé ma, hou de moed erin. Salut.	4
11	Geen buren. Geen last van iemand.	0
110	Kmoet er nog altijd mee lachen omdat ik het euh nie echt besef. Euhm… Ma het doet zeker wel wa me mij. Tis euh bizar om te weten da ja ga trouwen.	3
111	Een goeie danser, das toch wijs eh.	3
112	We hebben nog redelijk  gelachen tijdens diene dans ook. Da was echt plezant daje zo… Da was een serieus moment ma ook dawet zo beetje konden downplayen zo en ja kvond da wel geweldig da we da kunnen doen.	3
113	Das het eerste wa kik dan zeg eh. Ge moet es weten vanwaar dat da komt. Ma twas ook, alé, ik moet eerlijk zijn, wij hebben dan die nachtdienst gedaan. Ik was bekaf.	1
114	Lang geleden da we hier wel samen hebben gegeten eh.	0
115	Ik vind et een stomme methode ze. Een bikke modder mixen vinnik het.	1
116	Heeey. Sorry eh. Ik heb net knoflookteentjes vastgehad, dus nu heb je een knoflookhandje.	3
117	Doeme toch. Da moe wel passen eh?	1
118	Ge ziet er goe uit. Hallo.	3
119	Ik woonde der al een paar jaar bij ook eh, bij het slachtoffer dus… alé zij bij mij dus…	5
12	Nee, sorry ik word daar zo kwaad van. Ik word daar echt boos van.	1
120	Het komt nu  gewoon efkes allemaal heel hard binnen.	5
121	Alé hij verdient hier wel goe eh.	3
