id	text	label
260	O nee, ik ben bang. Ik ben echt bang.	0.149360560158,0.551050482355,0.215967132451
261	Ja zeker. Echt, het liefst wel.	0.476051025444,0.610196138178,0.584231871805
262	Ja nie lange. Maja, tis er wel geweest.	0.37710512889,0.349565849361,0.327814724387
263	Ik heb da nooit gehad. Twas wel efkes wennen toen dak hoorde dat die ja, wel een hondjen had en ja da we daar ook wel daar rekening mee moesten gaan houden.	0.510335849426,0.360516122968,0.276129984419
264	Want wij werden zo gehypet als hét koppel.	0.631268414491,0.513039341758,0.599410340952
265	Ge zijt kwaad, ge zijt verdrietig, ge voelt u machteloos, ge voelt u… goh moe, ge voelt u uitgeput ma mentaal, fysiek alé snap je? Ge staat daar zo en ge hebt nog geen halve euro verdiend. Die mensen staan daar elke dag zo. Zo nie weten wat de dag brengt, dag tot dag.	0.138958503349,0.749793548216,0.166627014848
266	Joehoe! Je bent al aan het afzien van het gewicht op uw rug.	0.383783863575,0.612110705642,0.442857294344
267	Ja. Ik word er ook echt zo wa stil van.	0.696558858593,0.26505208578,0.503015369982
268	Uiteindelijk ist veel leuker om euh… om uw leven te delen met iemand. En iemand gelukkig te kunnen maken. Dus we zijn begonnen aan het avontuur. En euhm… ja. Waar het gaat eindigen, da weten we nog nie. Ma deze dag was in ieder geval echt leuk.	0.853296937106,0.609758856497,0.501621337238
269	Den 31ste december zou kik verlof pakken.	0.642165065697,0.323103214619,0.610614419195
27	O Joke, die bloemekes!	0.840106615309,0.959255780643,0.573064518142
270	Eh ma wa toch onvoorstelbaar is, is da hun dochter dus ervoor zorgt da zij nog kunnen leven.	0.347090029913,0.4782233913,0.309120129566
271	Ik voel de hernia in menne rug al, echt waar. Ik heb geen plaats. Ik zit er me mijn knie tegen.	0.171726192346,0.68128273097,0.364821188378
272	Ja. Ja en nu is da eigenlijk twee maanden geschorst. Maja tis stom eh.	0.275683555553,0.288122047465,0.31673653284
273	Ohhhh, hebt ge da gezien?!	0.483188603016,0.786487226199,0.576358570442
274	De toekomst? Daar kijk ik nou niet naar. Nu ook, het contact met mijn vader dat is ook klaar. Dus…	0.246184588575,0.556907204797,0.368194806736
275	Das mijn 3D. Ge ziet het zelf eh, wa da ge hier allemaal zie gebeuren. Mensen da passeren, auto’s daar aan den overkant, mensen da komen tanken, achter brood. Der is altijd wel iets te zien, das dag en nacht hiere. Das es iets anders dan altijd op die vier muren kijken. Zie, das… Das precies of ge naar een aquarium kijkt. Ja maja.	0.803436244659,0.650765361265,0.950317123049
276	Ik ben gelukkig. Kben thuis.	0.716280227376,0.304735961809,0.64077866115
277	Das wel glamorous. Alé das echt… daar gade in schitteren. 	0.85415067379,0.711369305402,0.722512816501
278	Der is toch iets, iets aangewakkerd waarin ze zeggen van oke we kunnen der niets aan doen en we voelen toch da onrecht en… 	0.410433962558,0.264885522395,0.377548089048
279	Ohhh. Ja ge zijt daar ant wachten en elke minuut duurt gewoon uren. En euh… da zweet komt op, ge maakt u nog meer zenuwen. Da was gewoon doodgaan daar eh. Tmag gaan beginnen. Echt. Pff.	0.294182219458,0.885450015719,0.368328105075
28	Voorwaarden? Volgen. Voorwaarden nie volgen? Gevang.	0.377520568823,0.647211529117,0.728785644675
280	Ik zie da zo neig veranderen en ik loop daar nie in mee. Dus als ekik dan die 36 uur es buiten zij is da voor mij wel… Das heel anders, versta je? Ge kunt da moeilijk uitleggen.	0.569826327765,0.615909055268,0.352774146904
281	Go with the flow eh.	0.745351430211,0.424951461849,0.642819964461
282	Ja das moeilijk.	0.365530436213,0.166412782739,0.3580415077
283	Dus ge hebt echt iemand gevonden die bij mij past?	0.706133429821,0.498236582199,0.349848502225
284	Wa willen ze? Dak hier buitenga, een overval ga doen en het geld op tafel leg? Ja dan zik der van af.	0.378444016204,0.809545940069,0.448288803632
285	Da komde in België nie tegen zoiets. Echt nie.	0.433826401614,0.570332136232,0.634400383891
286	Oh. Oh da doe deugd.	0.959244565373,0.628592979677,0.493254909206
287	Eiglik zie kik da gewoon totaal nie zitn, zegt hij, vrijkomn.	0.464283358535,0.607778227334,0.338587143277
288	Da ga een avontuur worden, denk ik. Want euh… kdenk dak misschien mijne kop efkes onder et water ga steken ma echt zo een uitgebreide douche gaan ik hier nie nemen denk ik.	0.338737092194,0.452773594145,0.392315350294
289	Ik heb het totaal nie onder controle van euh... Tjah, ik denk dat ook logisch is. Tis zo spannend. Je weet totaal nie me wie je ga trouwen. Tis eigenlijk een heel onrealistisch gegeven.	0.354739310121,0.537148664931,0.164088830465
29	What the fuck is da voor ons?	0.604950437302,0.82779382802,0.266605822358
290	Ja ja ja. Ma ik vind het toch aan de andere kant… zo toch wel die zucht toen ik binnenkwam dat ik terug euh die modus van de gevangenis weer kon oppakken, want das eigenlijk wel het gemakkelijkste voor mij hier eh. Alé snapte wat ik bedoel?	0.563522803442,0.52467711481,0.48190625213
291	Ow. Volgens mij ebt ge hier echt wel zo geduld voor nodig en jah da heb ik nie.	0.417731319086,0.38571463881,0.330566933673
292	Goh ik denk da wij alle vijf fantastische vrouwen zijn dus we gaan sowieso op onze pootjes terechtkomen.	0.900657409469,0.406201787675,0.850609700926
293	Dak dan dacht zo oh das zo zonde. Want ik heb die wel supergraag.	0.462847833989,0.646649017301,0.317123824266
294	Ik denk nie da iemand wordt geboren en droomt ’s nachts over hier te komen zitten en te naaien. Da is onmogelijk. Tis geen leuk werk maar voor veel van die mensen hier is het werk.	0.450893817762,0.415603558472,0.473849933849
