id	text	labels	pred	strong_lexical_indicator	unusual_language	in_context	plausible_ambiguous
aapl14_gil_s01_c00	The decision by Apple to price the iPhone X at one thousand dollars to price the iPhone X at one thousand dollars	neutral	positive				
aapl14_gil_s01_c01	The decision by Apple to price the iPhone X at one thousand dollars says a lot about Tim Cook ' s strategy for the iPhone going forwards	neutral	positive				
aapl14_gil_s02_c00	a future will see market share falling , even as Apple maintains its profit margin	positive	negative				
aapl14_gil_s06_c01	Apple could have sold	negative	positive				
aapl14_gil_s07_c00	the iPhone X pricing Putting aside stock issues	negative	neutral				
aapl14_gil_s07_c01	Apple will continue to prize profit margins over unit sales and market share	positive	neutral				
aapl14_gil_s07_c02	the iPhone X pricing suggests	neutral	positive				
aapl14_gil_s08_c00	2017 IHS Markit - Apple ' s growth has been lagging the growth of the market , with IHS reporting two percent growth in a similar period	positive	negative				
aapl14_gil_s08_c01	2017 IHS Markit - Apple ' s growth has seen modest growth in the overall smartphone market	positive	neutral				
aapl14_gil_s08_c02	seven percent year-on-year grow	none	positive				
aapl14_gil_s08_c03	2017 IHS Markit - Apple ' s growth has reported	positive	neutral				
aapl14_gil_s09_c00	Tim Cook and his team are facing a similar decision to previous leading manufacturers such as Nokia , Blackberry , Palm , and others .	positive	none				
aapl14_gil_s10_c00	Apple will slowly follow those companies into the technological history books	negative	none				
aapl14_gil_s10_c01	the danger Get	negative	none				
aapl14_gil_s10_c02	the danger is	negative	none				
aapl14_gil_s14_c01	That will keep the accounta	positive	none				
aapl14_gil_s14_c02	 in iPhone sales expected , there ' s every chance that 	neutral	positive				
aapl15_gil_s04_c00	a forecast repeated again this April when such a number seemed outlandish	positive	none				
aapl15_gil_s06_c00	you hear a fair amount of Buck Rogers-sounding futurism	positive	none				
aapl15_gil_s07_c01	its services business is up to $ 30 billion a year	positive	none				
aapl15_gil_s07_c03	you can keep the case for $ 2 trillion simpler Apple has	none	positive				
aapl15_gil_s08_c00	` We , and it , ' ' CFRA Research analyst Angelo Zino says ' ' says	positive	none				
aapl15_gil_s08_c01	` We , and it , ' ' CFRA Research analyst Angelo Zino says ' ' expect a lot to happen with two to three years	positive	none				
aapl15_gil_s08_c02	` We , and it , ' ' CFRA Research analyst Angelo Zino says ' ' will mostly be in services	positive	none				
aapl15_gil_s12_c01	The biggest differences between the prosaic case and the Buck Rogers case lie in	positive	none				
aapl15_gil_s13_c00	But here ' can Apple really ? s	none	positive				
aapl15_gil_s13_c02	 to think about	positive	none				
aapl15_gil_s15_c01	It ' but s the most boring part of the case	negative	none				
aapl15_gil_s17_c00	This could be a $ 60 billion business within four years , even with some slowing in growth .	positive	negative				
aapl15_gil_s19_c01	people demand virtual-reality games and other AR-based services	positive	none				
aapl15_gil_s25_c01	It ' Zino cautions	positive	none				
aapl15_gil_s36_c00	cash held outside of the U.S	positive	none				
aapl15_gil_s37_c01	The other thing to watch to watch	positive	none				
aapl15_gil_s38_c01	Apple pays ju	positive	neutral				
aapl15_gil_s41_c02	the car market will see more change in the next 20 years than in the last 50	positive	none				
aapl15_gil_s44_c00	Will Apple ' s ideas outshine Alphabet ' s or Uber ' s ?	neutral	positive				
aapl15_gil_s46_c01	late to drive the climb toward Apple ' s	none	positive				
aapl15_gil_s46_c02	the shift toward autonomous cars will be fairly backloaded , hitting critical mass in the 2030s - - likely too $ 2 trillion valuation	positive	negative				
