id	text	labels	pred	strong_lexical_indicator	unusual_language	in_context	plausible_ambiguous	strong_lex_ignored	ambiguity_preproc	target_ambiguous	
aapl14 12 02	market share	positive	neutral			y	y			y	
nem04 07 00	upward revision in its unit costs	negative	positive	y			y				
nem06 02 01	Newmont is not cheap fundamentally , as its P / E ratio is 200.67 , and the dividend yield	negative	positive								
amzn12 29 01	Amazon showed that those state licenses could only be used for medical device and supplies distribution	neutral	positive				y				
wmt07 00 00	Walmart ' s Meal Kits Are Not The Solution To Fight Amazon	neutral	positive	y		y				y	
amzn13 12 04	Amazon ' s rally , the market is still underestimating the company	positive	negative	y							
nem06 15 01	The stock is above its 200 - week simple moving average at $ 29.06 , which is also the ` ` reversion to the mean	negative	neutral								
bac04 19 01	loan growth	neutral	positive	y		y	y			y	
amzn12 25 04	Express Scripts announced on Tuesday that it will buy privately-held medical benefit management company eviCore healthcare for $ 3.6 billion , a move that some saw as a response to the Amazon threat	negative	positive				y		y		
bac04 13 01	writing down its deferred tax assets	neutral	negative								
aapl15 46 00	shift toward autonomous cars	neutral	positive			y	y				
aapl15 26 01	Apple ' s sales	negative	positive			y					
nem04 06 00	has n't been much change in analysts ' ratings for NEM ' s stock	neutral	positive								
f14 21 02	be years behind its competition , especially crosstown rival General Motors	positive	negative				y		y	y	
bac04 04 01	the new U.S . tax law	neutral	positive			y	y				
f15 09 00	Negatives and positives reside side by side	neutral	positive	y	y						
f15 06 00	Ford leaders might be relieved	positive	negative	y							
jnj06 06 01	skin care revenue growth	neutral	positive	y		y	y				
amzn12 11 01	Amazon pharmacy is that the highly regulated drug business	negative	positive			y					
amzn12 17 00	Amazon ' s involvement	neutral	positive								
bac06 23 00	The losses hit banks	positive	negative			y	y				
aapl15 31 00	switching opportunity from rival phone makers	positive	negative	y							
wmt06 13 00	retail executives as a factor that can both help or hurt results	neutral	negative								clear neutral miss example
nem04 19 01	Newmont ' s stock on October 19 , 2017 , with a target price	neutral	positive								
aapl14 06 02	Apple could have sold more units had the price been lower	neutral	positive			y					
aapl16 26 00	App Stores $ 8.8 billion in revenue	positive	neutral			y	y				
wmt06 01 02	Wal-Mart to buy and put the retail giant on its Conviction List	positive	negative	y	y					y	
ba14 19 01	values Embraer ' s ADRs	neutral	positive			y	y				
duk07 17 00	shorted shares in DUK	positive	negative	y		y	y				
bac04 14 00	offset future tax bills	negative	positive	y			y				
cvx04 10 02	oil above	positive	negative					y			
nem05 09 02	widening the value gap between the two companies	neutral	negative			y			y	y	
ba14 23 00	take your breath away	positive	negative		y						
ba14 07 00	bid	positive	negative								
bac06 30 00	stock-based lending had been booming across the banking industry	neutral	positive	y			y				
